,FeatureIdx,Count_Fibroblast(EdUScreen),Count_EdUPositive(EdUScreen),RatioEduPositive(EdUScreen),Mean_Mean_Cytoplasm_Intensity_IntegratedIntensity_CorrSMA,Mean_Macrophage_count,Nuclei_Count(aSMA),Cell_Count(aSMA)
1313,1832,8.45,5.1,0.6313167388167388,145.98895763329574,22.5,9.0,9.210526315789474
1314,1833,9.05,4.75,0.5615007215007215,165.0874983217129,26.0,10.0,9.789473684210526
1315,1834,8.75,6.4,0.8071413308913309,170.21856980236424,21.875,8.5,8.166666666666666
1316,1835,9.55,6.05,0.6461796536796538,155.39395260505268,21.0,8.5,9.25
1317,1836,10.2,5.45,0.5598890692640694,183.0307152453375,23.0,8.0,8.421052631578947
1318,1837,9.95,5.75,0.5747073759573761,171.9465850320301,25.5,10.0,9.7
1319,1838,8.45,5.7,0.6959586247086247,153.48942972284766,24.875,7.5,8.45
1320,1839,9.75,5.35,0.5995597458097458,180.48736531139926,23.0,6.5,7.35
1321,1840,9.0,6.473684210526316,0.7924887977519556,181.8132728400144,22.5,6.5,8.1
1322,1841,9.25,6.3,0.7400974902290692,167.0407682144596,22.125,8.0,8.55
1323,1842,9.0,6.6,0.8055357142857142,165.62556476251248,23.0,10.5,9.85
1324,1844,10.55,5.65,0.646257647581177,165.00728893745782,20.625,9.0,9.157894736842103
1325,1848,9.388888888888893,8.11111111111111,0.9639460666421452,173.04673354764202,21.5,11.0,10.25
1326,1850,10.210526315789474,5.526315789473684,0.6286445112561293,164.20623926768968,21.75,10.0,9.736842105263158
1327,1853,9.7,6.25,0.7202776171197222,175.812812118646,18.0,7.0,8.789473684210527
1328,1854,9.2,5.35,0.596446608946609,171.53569303614725,19.375,8.0,10.31578947368421
1329,1855,9.6,7.4,0.7768723474238179,202.98812925791802,24.5,9.0,7.894736842105262
1330,1856,9.736842105263158,6.157894736842105,0.7268401035714055,168.6519603651517,21.75,8.0,9.705882352941176
1331,1857,9.15,6.05,0.6729509379509379,167.96388762590072,23.375,10.0,9.0
1332,1858,10.1,6.25,0.6479387973137972,184.30395488975768,22.5,7.5,9.5
1333,1859,8.631578947368421,6.7368421052631575,1.0068595147542516,172.16488480326785,14.25,10.0,9.5
1334,1860,8.736842105263158,5.789473684210527,0.6911445279866332,179.80922923022285,20.0,7.0,8.35
1335,1861,8.368421052631579,5.315789473684211,0.743642193719593,191.6413382272989,17.875,8.5,8.85
1336,1862,7.947368421052633,4.947368421052632,0.7983746130030959,148.30204692262708,23.125,8.0,8.777777777777779
1337,1863,8.35,7.2,0.8796879509379508,183.1046718428701,19.75,8.0,8.368421052631579
1338,1864,7.75,5.05,0.6950442612942612,182.2107659756699,21.142857142857142,7.0,6.6
1339,1865,8.25,5.7,0.8010377939054407,148.70980529293317,21.25,9.0,9.052631578947368
1340,1867,8.7,5.75,0.7562966200466201,174.84653527863637,23.75,10.0,9.5
1341,1868,9.68421052631579,5.157894736842105,0.6410271745798061,163.37872354374642,21.625,5.5,7.6
1342,1870,8.578947368421053,5.315789473684211,0.6470075246391035,167.43208957814534,23.375,8.5,8.3
1343,1871,8.947368421052632,5.105263157894737,0.5879320971426234,177.1974069072705,21.571428571428577,7.0,7.4
1344,1872,10.421052631578947,6.052631578947367,0.576894888736994,163.45657568420066,26.42857142857143,9.0,8.8
1345,1874,9.8,5.8,0.6522791097791099,194.89605788397,21.75,11.0,8.529411764705884
1346,1875,10.6,4.95,0.4997165334665334,169.4298482812255,19.5,9.5,8.65
1347,1876,10.166666666666666,5.5555555555555545,0.5946248196248196,179.0408144807378,24.75,9.5,9.65
1348,1877,10.9,4.9,0.5227061582208641,183.51950257264198,22.0,9.0,8.6
1349,1878,10.947368421052632,7.736842105263157,0.7219390258863944,180.24920531111354,22.125,8.0,8.45
1350,1884,10.263157894736842,6.526315789473684,0.6852889108429275,190.78687917200367,19.375,10.0,10.736842105263158
1351,1886,9.4,5.55,0.65816829004329,155.46000311612136,21.875,7.0,9.210526315789474
1352,1889,8.55,6.1,0.8652167277167276,195.7442991479451,21.125,8.5,9.0
1353,1890,9.3,4.95,0.5745382395382395,205.6005503335133,17.5,8.0,8.722222222222221
1354,1891,7.7,5.15,0.7691773504273504,177.99899627997166,20.25,7.0,7.315789473684211
1355,1892,8.3,5.6,inf,187.77314732920246,17.25,7.0,8.105263157894736
1356,1893,9.526315789473683,6.7368421052631575,0.748268106162843,177.53796357303284,24.0,7.5,8.7
1357,1894,10.263157894736842,5.526315789473684,0.5952551142301834,184.83103650345777,17.25,8.0,7.9
1358,1895,9.105263157894736,6.0,0.7189214122650656,147.10316210433425,20.375,8.0,8.210526315789473
1359,1896,7.894736842105262,5.2631578947368425,0.7279813753497963,161.93030184727175,20.0,8.0,8.35
1360,1897,8.2,5.85,0.7642189754689755,156.40310855554822,20.375,8.0,8.95
1361,1898,8.789473684210527,5.0,0.6172562817299659,143.88632613371956,20.875,7.0,7.75
1362,1899,7.578947368421053,5.473684210526316,0.8475791752107542,143.31960724419824,23.0,8.0,8.210526315789473
1363,1900,7.947368421052633,5.2105263157894735,0.7058135577872421,164.6531387604804,21.875,7.5,8.45
1364,1901,8.421052631578947,5.473684210526316,0.6652977139819245,171.91549626621003,26.625,7.0,7.9
1365,1902,8.25,6.6,0.8030570818070819,192.36770793640068,18.0,9.0,8.894736842105264
